영화인 '라이언 레놀즈'의 필모 리스트,,,,,,,,,
영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
판타스틱 Mr. 폭스,Fantastic Mr. Fox,2009,"미국,영국","애니메이션,코미디,어드벤처,가족","배급사,수입사","145,734,874","19,590","144,584,500","19,551"
아바타,Avatar,2009,미국,"SF,액션,어드벤처","배급사,수입사","128,447,097,523","13,624,328","124,899,808,500","13,302,853"
박물관이 살아있다 2,Night At The Museum 2: Battle Of The Smithsonian,2009,미국,"어드벤처,코미디,액션","배급사,수입사","12,591,000,149","2,002,526","12,399,745,500","1,972,440"
엑스맨 탄생: 울버린,X-Men Origins: Wolverine,2009,미국,"SF,액션,판타지","배급사,수입사","8,560,185,022","1,303,452","8,408,135,000","1,280,734"
신부들의 전쟁,Bride Wars,2009,미국,"코미디,멜로/로맨스","배급사,수입사","686,671,367","105,202","675,067,500","103,501"
드래곤볼 에볼루션,Dragonball,2009,미국,"액션,어드벤처,SF,가족","배급사,수입사","2,695,732,696","425,571","2,655,743,500","419,189"
말리와 나,Marley & Me,2008,미국,"드라마,코미디,멜로/로맨스,가족","배급사,수입사","1,437,267,652","213,500","1,415,054,000","210,270"
작전명 발키리,Valkyrie,2008,"미국,독일","스릴러,드라마,전쟁","배급사,수입사","11,972,135,869","1,798,205","11,875,231,500","1,784,165"
지구가 멈추는 날,The Day The Earth Stood Still,2008,미국,"SF,액션,스릴러","배급사,수입사","10,395,192,543","1,576,333","10,393,857,500","1,576,492"
오스트레일리아,Australia,2008,미국,"사극,멜로/로맨스,서부극(웨스턴)","배급사,수입사","6,471,511,555","998,528","6,472,917,000","999,030"
맥스 페인,Max Payne,2008,미국,"범죄,스릴러,액션","배급사,수입사","1,629,486,000","257,808","1,631,146,500","258,067"
미러,Mirrors,2008,"미국,루마니아","공포(호러),스릴러","배급사,수입사","1,331,646,500","193,815","1,334,376,500","194,216"
해프닝,The Happening,2008,미국,"SF,드라마,미스터리","배급사,수입사","2,366,614,500","348,772","2,375,782,500","347,791"
라스베가스에서만 생길 수 있는 일,What Happens In Vegas,2008,미국,"멜로/로맨스,코미디","배급사,수입사","4,604,235,334","704,834","4,600,092,000","693,874"
호튼,Horton Hears A Who!,2008,미국,"애니메이션,어드벤처,가족","배급사,수입사","3,802,813,334","638,598","3,801,884,000","635,579"
스트리트 킹,Street Kings,2008,미국,"범죄,드라마,스릴러","배급사,수입사","1,781,772,500","274,628","1,781,772,500","272,501"
바빌론 A.D.,Babylon A.D.,2007,미국,"SF,스릴러,액션","배급사,수입사","1,483,575,500","227,354","1,496,477,500","229,622"
상사부일체,"The Mafia, The Salesman",2007,한국,"코미디,액션",배급사,0,"947,510","5,807,823,500","883,965"
선샤인,Sunshine,2007,미국,"SF,스릴러","제작사,수입사",0,"104,428","561,125,000","90,208"
어메이징 그레이스,Amazing Grace,2006,"미국,영국","사극,드라마","배급사,수입사","321,802,167","52,544","319,696,000","50,745"
미스 리틀 선샤인,Little Miss Sunshine,2006,미국,"코미디,드라마","배급사,수입사",0,"26,748","173,187,000","26,251"
박물관이 살아있다!,Night At The Museum,2006,미국,"코미디,어드벤처","배급사,수입사",0,"4,612,831","24,401,542,200","4,245,247"
어느 멋진 순간,A Good Year,2006,미국,"드라마,멜로/로맨스","배급사,수입사",0,"248,711","1,206,230,500","193,013"
악마는 프라다를 입는다,The Devil Wears Prada,2006,미국,드라마,"배급사,수입사",0,"1,730,719","8,377,549,400","1,378,126"
센티넬,The Sentinel,2006,미국,"범죄,드라마","배급사,수입사",0,"163,257","806,982,500","127,722"
겁나는 여친의 완벽한 비밀,My Super Ex-Girlfriend,2006,미국,"코미디,멜로/로맨스","배급사,수입사",0,"315,396","1,592,536,000","251,788"
가필드 2,Garfield 2,2006,미국,"애니메이션,코미디","배급사,수입사",0,"224,893","1,045,835,100","185,249"
엑스맨 : 최후의 전쟁,X-Men : The Last Stand,2006,미국,"SF,액션","배급사,수입사",0,"2,096,180","11,275,475,200","1,793,310"
오멘,The Omen,2006,미국,공포(호러),"배급사,수입사",0,"318,350","1,857,061,800","292,333"
아이스 에이지 2,Ice Age 2: The Meltdown,2006,미국,"애니메이션,코미디,어드벤처","배급사,수입사",0,"924,050","1,564,015,900","250,536"
핑크 팬더,The Pink Panther,2006,미국,"코미디,범죄","배급사,수입사",0,"34,450","166,601,100","27,354"
빅 마마 하우스:근무중 이상무,Big Momma`S House 2,2006,미국,"액션,코미디","배급사,수입사",0,"6,590","33,059,500","5,751"
쇼핑걸,Shopgirl,2005,미국,"코미디,드라마","배급사,수입사",0,"1,125","7,753,000","1,125"
리바운드,Rebound,2005,미국,코미디,"배급사,수입사",0,934,"6,538,000",934
앙코르,Walk The Line,2005,미국,드라마,"배급사,수입사",0,"212,902","1,191,720,100","186,143"
다섯번째 계절,Bee Season,2005,미국,드라마,"배급사,수입사",0,"1,140","7,436,000","1,082"
열두명의 웬수들2,Cheaper By The Dozen 2,2005,미국,"코미디,가족","배급사,수입사",0,"14,440","70,268,000","11,957"
당신이 그녀라면,In Her Shoes,2005,미국,"코미디,드라마","배급사,수입사",0,"53,200","279,260,000","43,973"
판타스틱4,Fantastic Four,2005,미국,"액션,SF,판타지",배급사,0,"757,900","3,522,174,000","564,263"
엘프,Elf,2004,미국,코미디,배급사,0,"85,614","344,242,500","57,377"
내겐 너무 아찔한 그녀,The Girl Next Door,2004,미국,코미디,"배급사,수입사",,,"38,127,500","5,522"
웰컴 프레지던트,Welcome To Mooseport,2004,미국,코미디,수입사,,,"76,000",11
무간도3 - 종극무간,Infernal Affairs III,2003,홍콩,드라마,배급사,0,"44,000","363,509,000","54,369"
